awayTeamCode,game_id,homeTeamCode,homeTeamWon,isPlayoffGame,season,total_games_played_by_home,total_games_played_by_away,total_wins_home,total_losses_home,total_wins_away,total_losses_away,last_10_games_win_home,last_10_games_win_away,last_meeting_result,last_game_result_home,last_game_result_away
MTL,20001,TOR,0,0,2015,0,0,0,0,0,0,0,0,1,,
NYR,20002,CHI,0,0,2015,0,0,0,0,0,0,0,0,0,,
VAN,20003,CGY,0,0,2015,0,0,0,0,0,0,0,0,0,,
SJS,20004,LAK,0,0,2015,0,0,0,0,0,0,0,0,0,,
WPG,20005,BOS,0,0,2015,0,0,0,0,0,0,0,0,1,,
OTT,20006,BUF,0,0,2015,0,0,0,0,0,0,0,0,0,,
PHI,20007,TBL,1,0,2015,0,0,0,0,0,0,0,0,1,,
EDM,20008,STL,1,0,2015,0,0,0,0,0,0,0,0,1,,
CAR,20009,NSH,1,0,2015,0,0,0,0,0,0,0,0,0,,
PIT,20010,DAL,1,0,2015,0,0,0,0,0,0,0,0,1,,
MIN,20011,COL,0,0,2015,0,0,0,0,0,0,0,0,1,,
WPG,20012,NJD,0,0,2015,0,1,0,0,1,0,0,1,1,,1.0
NYR,20013,CBJ,0,0,2015,0,1,0,0,1,0,0,1,1,,1.0
TOR,20014,DET,1,0,2015,0,1,0,0,0,1,0,0,0,,0.0
CHI,20015,NYI,0,0,2015,0,1,0,0,0,1,0,0,1,,0.0
ARI,20016,LAK,0,0,2015,1,0,0,1,0,0,0,0,1,0.0,
TBL,20017,BUF,0,0,2015,1,1,0,1,1,0,0,1,0,0.0,1.0
MTL,20018,BOS,0,0,2015,1,1,0,1,1,0,0,1,1,0.0,1.0
OTT,20019,TOR,0,0,2015,2,1,0,2,1,0,0,1,0,0.0,1.0
PHI,20020,FLA,1,0,2015,0,1,0,0,0,1,0,0,0,,0.0
CBJ,20021,NYR,1,0,2015,2,1,2,0,0,1,2,0,1,1.0,0.0
NJD,20022,WSH,1,0,2015,0,1,0,0,0,1,0,0,1,,0.0
DET,20023,CAR,0,0,2015,1,1,0,1,1,0,0,1,1,0.0,1.0
EDM,20024,NSH,1,0,2015,1,1,1,0,0,1,1,0,0,1.0,0.0
STL,20025,MIN,1,0,2015,1,1,1,0,1,0,1,1,0,1.0,1.0
NYI,20026,CHI,1,0,2015,2,1,1,1,0,1,1,0,1,1.0,0.0
DAL,20027,COL,1,0,2015,1,1,0,1,1,0,0,1,0,0.0,1.0
CGY,20028,VAN,0,0,2015,1,1,1,0,0,1,1,0,1,1.0,0.0
PIT,20029,ARI,1,0,2015,1,1,1,0,0,1,1,0,1,1.0,0.0
ANA,20030,SJS,1,0,2015,1,0,1,0,0,0,1,0,0,1.0,
MTL,20031,OTT,0,0,2015,2,2,2,0,2,0,2,2,1,1.0,1.0
TBL,20032,BOS,0,0,2015,2,2,0,2,2,0,0,2,0,0.0,1.0
WPG,20033,NYI,1,0,2015,2,2,0,2,2,0,0,2,1,0.0,1.0
CBJ,20034,BUF,1,0,2015,2,2,0,2,0,2,0,0,1,0.0,0.0
FLA,20035,PHI,1,0,2015,2,1,0,2,1,0,0,1,0,0.0,1.0
VAN,20036,ANA,0,0,2015,1,2,0,1,1,1,0,1,0,0.0,0.0
NSH,20037,NJD,0,0,2015,2,2,0,2,2,0,0,2,0,0.0,1.0
WPG,20038,NYR,0,0,2015,3,3,3,0,2,1,3,2,0,1.0,0.0
MTL,20039,PIT,0,0,2015,2,3,0,2,3,0,0,3,1,0.0,1.0
SJS,20040,WSH,0,0,2015,1,2,1,0,2,0,1,2,1,1.0,1.0
FLA,20041,CAR,0,0,2015,2,2,0,2,1,1,0,1,1,0.0,0.0
TBL,20042,DET,1,0,2015,2,3,2,0,3,0,2,3,1,1.0,1.0
EDM,20043,DAL,1,0,2015,2,2,1,1,0,2,1,0,0,0.0,0.0
STL,20044,CGY,0,0,2015,2,2,1,1,1,1,1,1,0,1.0,0.0
VAN,20045,LAK,0,0,2015,2,3,0,2,2,1,0,2,1,0.0,1.0
OTT,20046,CBJ,0,0,2015,3,3,0,3,2,1,0,2,0,0.0,0.0
CHI,20047,PHI,1,0,2015,3,3,1,2,2,1,1,2,0,1.0,1.0
BOS,20048,COL,0,0,2015,2,3,1,1,0,3,1,0,1,1.0,0.0
ARI,20049,ANA,0,0,2015,2,2,0,2,2,0,0,2,0,0.0,1.0
NSH,20050,NYI,1,0,2015,3,3,1,2,3,0,1,3,1,1.0,1.0
OTT,20051,PIT,1,0,2015,3,4,0,3,3,1,0,3,0,0.0,1.0
CHI,20052,WSH,1,0,2015,2,4,1,1,2,2,1,2,1,0.0,0.0
NYR,20053,MTL,1,0,2015,4,4,4,0,3,1,4,3,1,1.0,0.0
DAL,20054,TBL,0,0,2015,4,3,3,1,2,1,3,2,1,0.0,1.0
BUF,20055,FLA,1,0,2015,3,3,2,1,1,2,2,1,1,1.0,1.0
STL,20056,EDM,0,0,2015,3,3,0,3,2,1,0,2,1,0.0,1.0
MIN,20057,ARI,0,0,2015,3,2,3,0,2,0,3,2,0,1.0,1.0
SJS,20058,NJD,0,0,2015,3,3,0,3,3,0,0,3,0,0.0,1.0
TOR,20059,CBJ,0,0,2015,4,3,0,4,0,3,0,0,1,0.0,0.0
CAR,20060,DET,0,0,2015,3,3,3,0,0,3,3,0,0,1.0,0.0
CGY,20061,WPG,1,0,2015,4,3,3,1,1,2,3,1,1,1.0,0.0
STL,20062,VAN,0,0,2015,4,4,3,1,3,1,3,3,0,1.0,1.0
COL,20063,ANA,0,0,2015,3,3,0,3,1,2,0,1,1,0.0,0.0
MIN,20064,LAK,1,0,2015,3,3,0,3,3,0,0,3,0,0.0,1.0
DET,20065,MTL,1,0,2015,5,4,5,0,3,1,5,3,0,1.0,0.0
NSH,20066,OTT,0,0,2015,5,4,3,2,3,1,3,3,1,0.0,0.0
BUF,20067,TBL,1,0,2015,5,4,3,2,1,3,3,1,0,0.0,0.0
DAL,20068,FLA,0,0,2015,4,4,3,1,3,1,3,3,1,1.0,1.0
TOR,20069,PIT,1,0,2015,4,4,1,3,1,3,1,1,1,1.0,1.0
CAR,20070,WSH,1,0,2015,3,4,2,1,1,3,2,1,1,1.0,1.0
SJS,20071,NYI,1,0,2015,4,4,2,2,4,0,2,4,0,1.0,1.0
CBJ,20072,CHI,1,0,2015,5,5,2,3,0,5,2,0,0,0.0,0.0
EDM,20073,CGY,0,0,2015,4,4,1,3,0,4,1,0,0,0.0,0.0
BOS,20074,ARI,0,0,2015,4,4,3,1,1,3,3,1,1,0.0,1.0
NJD,20075,NYR,0,0,2015,5,4,3,2,0,4,3,0,1,0.0,0.0
STL,20076,WPG,0,0,2015,5,5,4,1,4,1,4,4,1,1.0,1.0
MIN,20077,ANA,1,0,2015,4,4,0,4,3,1,0,3,0,0.0,0.0
EDM,20078,VAN,0,0,2015,5,5,3,2,1,4,3,1,0,0.0,1.0
COL,20079,LAK,1,0,2015,4,4,1,3,2,2,1,2,1,1.0,1.0
SJS,20080,NYR,1,0,2015,6,5,3,3,4,1,3,4,1,0.0,0.0
ARI,20081,NJD,1,0,2015,5,5,1,4,3,2,1,3,0,1.0,0.0
DAL,20082,PHI,0,0,2015,4,5,2,2,4,1,2,4,1,1.0,1.0
FLA,20083,PIT,1,0,2015,5,5,2,3,3,2,2,3,0,1.0,0.0
NYI,20084,CBJ,0,0,2015,6,5,0,6,3,2,0,3,0,0.0,1.0
STL,20085,MTL,1,0,2015,6,6,6,0,5,1,6,5,0,1.0,1.0
TBL,20086,NSH,1,0,2015,5,6,4,1,4,2,4,4,1,1.0,1.0
WSH,20087,CGY,0,0,2015,5,4,1,4,3,1,1,3,0,0.0,1.0
TOR,20088,BUF,1,0,2015,5,5,1,4,1,4,1,1,0,0.0,0.0
PHI,20089,BOS,0,0,2015,5,5,2,3,2,3,2,2,1,1.0,0.0
DET,20090,EDM,1,0,2015,6,5,2,4,3,2,2,3,1,1.0,0.0
CAR,20091,COL,0,0,2015,5,5,2,3,1,4,2,1,1,0.0,0.0
ARI,20092,NYR,1,0,2015,7,6,4,3,3,3,4,3,1,1.0,0.0
DAL,20093,PIT,0,0,2015,6,6,3,3,5,1,3,5,0,1.0,1.0
NJD,20094,OTT,0,0,2015,6,6,3,3,2,4,3,2,0,0.0,1.0
ANA,20095,NSH,1,0,2015,6,5,5,1,1,4,5,1,0,1.0,1.0
CBJ,20096,MIN,1,0,2015,5,7,3,2,0,7,3,0,0,0.0,0.0
FLA,20097,CHI,1,0,2015,6,6,3,3,3,3,3,3,1,1.0,0.0
WSH,20098,VAN,0,0,2015,6,5,3,3,4,1,3,4,0,0.0,1.0
LAK,20099,SJS,0,0,2015,6,5,4,2,2,3,4,2,0,0.0,1.0
MTL,20100,BUF,0,0,2015,6,7,2,4,7,0,2,7,0,1.0,1.0
BOS,20101,NYI,0,0,2015,6,6,4,2,2,4,4,2,1,1.0,0.0
TBL,20102,WPG,0,0,2015,6,7,4,2,4,3,4,4,1,0.0,0.0
DET,20103,CGY,1,0,2015,6,6,1,5,3,3,1,3,0,0.0,0.0
WSH,20104,EDM,0,0,2015,7,6,3,4,5,1,3,5,1,1.0,1.0
CAR,20105,LAK,1,0,2015,6,6,3,3,2,4,3,2,0,1.0,1.0
ANA,20106,MIN,1,0,2015,6,6,4,2,1,5,4,1,1,1.0,0.0
NJD,20107,BUF,0,0,2015,7,7,2,5,3,4,2,3,1,0.0,1.0
TOR,20108,MTL,1,0,2015,8,6,8,0,1,5,8,1,0,1.0,0.0
ARI,20109,OTT,0,0,2015,7,7,3,4,3,4,3,3,0,0.0,0.0
NYR,20110,PHI,1,0,2015,6,8,3,3,5,3,3,5,0,1.0,1.0
NYI,20111,STL,0,0,2015,7,7,5,2,4,3,5,4,1,0.0,0.0
PIT,20112,NSH,0,0,2015,7,7,6,1,3,4,6,3,1,1.0,0.0
FLA,20113,DAL,0,0,2015,7,7,6,1,3,4,6,3,0,1.0,0.0
TBL,20114,CHI,1,0,2015,7,8,4,3,5,3,4,5,0,1.0,1.0
CBJ,20115,COL,0,0,2015,6,8,2,4,0,8,2,0,1,0.0,0.0
DET,20116,VAN,0,0,2015,7,7,3,4,3,4,3,3,1,0.0,0.0
CAR,20117,SJS,1,0,2015,7,7,4,3,2,5,4,2,0,0.0,0.0
MIN,20118,WPG,1,0,2015,7,7,4,3,5,2,4,5,1,0.0,1.0
CGY,20119,NYR,1,0,2015,9,7,5,4,2,5,5,2,1,0.0,1.0
LAK,20120,EDM,0,0,2015,8,7,3,5,4,3,3,4,1,0.0,1.0
CGY,20121,NYI,1,0,2015,8,8,5,3,2,6,5,2,0,1.0,0.0
ARI,20122,TOR,0,0,2015,7,8,1,6,4,4,1,4,1,0.0,1.0
ANA,20123,CHI,1,0,2015,8,7,5,3,1,6,5,1,1,1.0,0.0
ARI,20124,BOS,1,0,2015,7,9,3,4,5,4,3,5,1,1.0,1.0
CBJ,20125,NJD,0,0,2015,8,9,4,4,1,8,4,1,1,1.0,1.0
BUF,20126,PHI,0,0,2015,7,8,4,3,2,6,4,2,0,1.0,0.0
CAR,20127,DET,0,0,2015,8,8,4,4,2,6,4,2,0,1.0,0.0
COL,20128,FLA,1,0,2015,8,7,4,4,2,5,4,2,1,1.0,0.0
TBL,20129,STL,1,0,2015,8,9,5,3,5,4,5,5,1,0.0,0.0
EDM,20130,MIN,1,0,2015,8,9,5,3,3,6,5,3,1,0.0,0.0
LAK,20131,WPG,0,0,2015,8,8,5,3,5,3,5,5,1,1.0,1.0
ANA,20132,DAL,1,0,2015,8,8,6,2,1,7,6,1,1,0.0,0.0
MTL,20133,VAN,1,0,2015,8,9,3,5,9,0,3,9,1,0.0,1.0
CGY,20134,OTT,1,0,2015,8,9,3,5,2,7,3,2,1,0.0,0.0
PIT,20135,WSH,0,0,2015,7,8,6,1,4,4,6,4,0,1.0,1.0
NSH,20136,SJS,0,0,2015,8,8,5,3,6,2,5,6,0,1.0,0.0
CAR,20137,NYI,0,0,2015,9,9,6,3,3,6,6,3,1,1.0,1.0
NJD,20138,PHI,0,0,2015,8,9,4,4,4,5,4,4,1,0.0,0.0
BUF,20139,PIT,1,0,2015,9,9,5,4,3,6,5,3,0,1.0,1.0
COL,20140,TBL,0,0,2015,10,8,5,5,2,6,5,2,1,0.0,0.0
ANA,20141,STL,1,0,2015,9,9,6,3,1,8,6,1,1,1.0,0.0
CHI,20142,WPG,1,0,2015,9,9,5,4,6,3,5,6,1,0.0,1.0
VAN,20143,DAL,1,0,2015,9,9,7,2,4,5,7,4,1,1.0,1.0
MTL,20144,EDM,1,0,2015,10,10,3,7,9,1,3,9,1,0.0,0.0
PHI,20145,BUF,1,0,2015,10,9,3,7,4,5,3,4,1,0.0,0.0
TOR,20146,NYR,1,0,2015,10,8,6,4,1,7,6,1,0,1.0,0.0
CBJ,20147,WSH,1,0,2015,8,10,6,2,2,8,6,2,1,0.0,1.0
