awayTeamCode,game_id,homeTeamCode,homeTeamWon,isPlayoffGame,season,total_games_played_by_home,total_games_played_by_away,total_wins_home,total_losses_home,total_wins_away,total_losses_away,last_10_games_win_home,last_10_games_win_away,last_meeting_result,last_game_result_home,last_game_result_away
ANA,20001,LAK,1,0,2007,0,0,0,0,0,0,0,0,1,,
LAK,20002,ANA,1,0,2007,1,1,0,1,1,0,0,1,1,0.0,1.0
MTL,20003,CAR,0,0,2007,0,0,0,0,0,0,0,0,1,,
ANA,20004,DET,1,0,2007,0,2,0,0,1,1,0,1,0,,1.0
OTT,20005,TOR,0,0,2007,0,0,0,0,0,0,0,0,0,,
DAL,20006,COL,1,0,2007,0,0,0,0,0,0,0,0,0,,
FLA,20007,NYR,1,0,2007,0,0,0,0,0,0,0,0,0,,
TOR,20008,OTT,1,0,2007,1,1,1,0,0,1,1,0,1,1.0,0.0
NJD,20009,TBL,1,0,2007,0,0,0,0,0,0,0,0,1,,
COL,20010,NSH,1,0,2007,0,1,0,0,1,0,0,1,1,,1.0
CHI,20011,MIN,1,0,2007,0,0,0,0,0,0,0,0,1,,
PHI,20012,CGY,0,0,2007,0,0,0,0,0,0,0,0,1,,
SJS,20013,EDM,1,0,2007,0,0,0,0,0,0,0,0,1,,
STL,20014,ARI,1,0,2007,0,0,0,0,0,0,0,0,1,,
PIT,20015,CAR,1,0,2007,1,0,0,1,0,0,0,0,1,0.0,
ANA,20016,CBJ,1,0,2007,0,3,0,0,1,2,0,1,0,,0.0
NYI,20017,BUF,0,0,2007,0,0,0,0,0,0,0,0,1,,
WSH,20018,WPG,0,0,2007,0,0,0,0,0,0,0,0,1,,
BOS,20019,DAL,1,0,2007,1,0,0,1,0,0,0,0,0,0.0,
SJS,20020,VAN,0,0,2007,0,1,0,0,0,1,0,0,1,,0.0
PHI,20021,EDM,1,0,2007,1,1,1,0,1,0,1,1,1,1.0,1.0
MTL,20022,TOR,1,0,2007,2,1,0,2,1,0,0,1,1,0.0,1.0
NYR,20023,OTT,1,0,2007,2,1,2,0,1,0,2,1,0,1.0,1.0
BUF,20024,NYI,1,0,2007,1,1,1,0,0,1,1,0,1,1.0,0.0
CAR,20025,WSH,1,0,2007,1,2,1,0,1,1,1,1,1,1.0,1.0
NJD,20026,FLA,0,0,2007,1,1,0,1,0,1,0,0,0,0.0,0.0
ANA,20027,PIT,1,0,2007,1,4,0,1,1,3,0,1,0,0.0,0.0
WPG,20028,TBL,1,0,2007,1,1,1,0,0,1,1,0,0,1.0,0.0
DAL,20029,NSH,1,0,2007,1,2,1,0,1,1,1,1,0,1.0,1.0
CBJ,20030,MIN,1,0,2007,1,1,1,0,1,0,1,1,0,1.0,1.0
DET,20031,CHI,1,0,2007,1,1,0,1,1,0,0,1,0,0.0,1.0
VAN,20032,CGY,0,0,2007,1,1,0,1,0,1,0,0,0,0.0,0.0
BOS,20033,ARI,0,0,2007,1,1,1,0,0,1,1,0,1,1.0,0.0
STL,20034,LAK,0,0,2007,2,1,1,1,0,1,1,0,1,0.0,0.0
SJS,20035,COL,1,0,2007,2,2,1,1,1,1,1,1,1,0.0,1.0
WSH,20036,NYI,0,0,2007,2,2,2,0,2,0,2,2,1,1.0,1.0
NJD,20037,OTT,1,0,2007,3,2,3,0,1,1,3,1,0,1.0,1.0
EDM,20038,DET,1,0,2007,2,2,1,1,2,0,1,2,0,0.0,1.0
